City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
392,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
395,Warri,NG,75.76,overcast clouds,5.5167,5.75,BON Hotel Delta
397,Lethem,GY,77.99,broken clouds,3.3803,-59.7968,Savannah Inn
398,Kununurra,AU,91.38,clear sky,-15.7667,128.7333,Hotel Kununurra
399,Ballina,AU,82.58,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
401,Sholapur,IN,71.87,overcast clouds,17.6833,75.9167,STARiHOTELS Nilanagar Solapur
407,Bubaque,GW,83.28,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
408,Dan Khun Thot,TH,71.76,broken clouds,15.2085,101.7714,Sai Thong Hotel
410,San Andres,CO,71.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
411,Tevaitoa,PF,78.75,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
412,Mitsamiouli,KM,79.99,few clouds,-11.3847,43.2844,Foyer ADM
413,Bengkulu,ID,82.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
416,Macia,MZ,71.28,scattered clouds,-25.0269,33.0989,Hotel Taskin Macia
417,Sakete,BJ,81.54,light rain,6.7362,2.6587,IBUKUN OLUWA
429,Garoua,CM,76.87,broken clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
430,Healesville,AU,70.52,broken clouds,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
432,Aquiraz,BR,85.21,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
435,Muscat,OM,73.42,clear sky,23.6139,58.5922,Mutrah Hotel
438,Chauk,MM,80.65,broken clouds,20.8833,94.8167,Bo Khin Guest House
444,Santa Rosa,PH,90.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
446,Sawankhalok,TH,82.71,scattered clouds,17.316,99.8319,Boon Bunleng Resort
454,Dogondoutchi,NE,81.79,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
457,Hobyo,SO,77.97,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
465,Khonsa,IN,71.08,clear sky,27.0167,95.5667,
467,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
468,Batticaloa,LK,76.84,overcast clouds,7.7102,81.6924,Grand Star Guest House
469,Sumbe,AO,75.87,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
474,Sawtell,AU,80.92,broken clouds,-30.3833,153.1,The Bungalow Sawtell
476,Miri,MY,84.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
479,Soyo,AO,76.55,light rain,-6.1349,12.3689,Hotel Mpampa
480,Basco,PH,78.6,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
482,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
483,Bang Saphan,TH,80.55,light rain,11.2126,99.5117,Ladawan Boutique Hotel
487,Fare,PF,78.76,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
488,Kismayo,SO,77.85,overcast clouds,-0.3582,42.5454,Agan-Hotel
491,Kinablangan,PH,81.64,overcast clouds,7.6947,126.5503,Danny Moreno Property
495,Saint-Joseph,RE,73.76,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
496,Vila Velha,BR,73.35,light intensity drizzle,-20.3297,-40.2925,Quality Suites Vila Velha
498,Narsingdi,BD,73.47,overcast clouds,23.9208,90.7181,Abdul Kadir Mollah City College Boys Hostel
499,Port Macquarie,AU,78.76,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
502,Hervey Bay,AU,83.03,light rain,-25.2986,152.8535,Shelly Bay Resort
507,Idah,NG,74.19,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
508,Eyl,SO,73.17,broken clouds,7.9803,49.8164,Amiin Hotel
509,Trinidad,BO,74.35,scattered clouds,-14.8333,-64.9,Hotel Piesta
513,Paka,MY,85.98,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
514,Simbahan,PH,84.22,overcast clouds,6.3032,120.5836,
520,Damaturu,NG,75.27,broken clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
524,Barbosa Ferraz,BR,70.09,clear sky,-24.03,-52.0117,Edicula Sanches
529,Nisia Floresta,BR,79.61,clear sky,-6.0911,-35.2086,Rancho Crepusculo
530,Am Timan,TD,75.49,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
537,San Buenaventura,MX,71.47,overcast clouds,27.0833,-101.5333,Hotel Gran Plaza
540,Mercedes,AR,70.84,few clouds,-34.6515,-59.4307,Posada del Inti Centro
541,Tadine,NC,79.09,scattered clouds,-21.55,167.8833,
544,Goundam,ML,78.78,broken clouds,16.4145,-3.6708,
548,Eirunepe,BR,73.58,overcast clouds,-6.6603,-69.8736,Atrás de você
