City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
221,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,90,4.61,light snow
222,Leningradskiy,RU,69.3833,178.4167,7.27,86,100,1.32,overcast clouds
223,Anadyr,RU,64.75,177.4833,28.9,80,20,15.66,few clouds
224,Grand-Santi,GF,4.25,-54.3833,72.14,96,76,2.71,broken clouds
225,Popondetta,PG,-8.7537,148.2534,93.58,45,23,7.27,few clouds
226,El Alto,PE,-4.2714,-81.2147,62.31,84,84,14.7,broken clouds
227,Conde,BR,-7.2597,-34.9075,76.46,83,20,3.44,few clouds
228,Cidreira,BR,-30.1811,-50.2056,63.0,73,0,4.27,clear sky
229,Lagos,NG,6.5833,3.75,77.32,94,99,2.59,light rain
230,Saskylakh,RU,71.9167,114.0833,-3.1,97,95,8.32,overcast clouds
231,Half Moon Bay,US,37.4636,-122.4286,61.92,51,90,1.99,overcast clouds
232,Nueva Loja,EC,0.0847,-76.8828,73.72,95,88,2.59,overcast clouds
233,Khash,IR,28.2211,61.2158,49.28,50,0,3.27,clear sky
234,Sepolno Krajenskie,PL,53.452,17.5317,36.99,85,14,4.72,few clouds
235,Inuvik,CA,68.3499,-133.7218,16.66,92,90,8.05,light snow
236,Fairbanks,US,64.8378,-147.7164,15.76,72,75,8.05,broken clouds
237,Uitenhage,ZA,-33.7576,25.3971,56.79,87,61,7.27,broken clouds
238,Pirgos,GR,35.1167,25.7178,62.62,81,100,1.59,overcast clouds
239,Kolno,PL,53.4115,21.9291,26.71,94,8,5.91,clear sky
240,Lodja,CD,-3.4833,23.4333,67.86,98,100,1.68,overcast clouds
241,Faya,SA,18.3851,42.4509,55.51,43,1,2.62,clear sky
242,Kazerun,IR,29.6195,51.6541,59.16,53,6,4.0,clear sky
243,Guilin,CN,25.2819,110.2864,55.51,58,92,5.79,overcast clouds
244,Bilma,NE,18.6853,12.9164,73.78,18,9,5.73,clear sky
245,Henties Bay,NA,-22.116,14.2845,54.86,90,0,5.57,clear sky
246,Hay River,CA,60.8156,-115.7999,21.18,86,75,8.05,broken clouds
247,Aleksandrovskoye,RU,44.7142,43.0008,37.54,70,93,2.21,overcast clouds
248,Bien Hoa,VN,10.95,106.8167,84.18,79,31,5.03,scattered clouds
249,Vanimo,PG,-2.6741,141.3028,85.46,70,79,9.42,broken clouds
250,Bonavista,CA,48.6499,-53.1147,46.11,87,100,11.65,overcast clouds
251,Isangel,VU,-19.55,169.2667,84.31,74,75,5.75,light rain
252,Narrabri,AU,-30.3167,149.7833,86.09,28,64,8.05,broken clouds
253,Dicabisagan,PH,17.0818,122.4157,85.62,64,54,7.27,light rain
254,Sibolga,ID,1.7427,98.7792,82.56,66,90,1.25,overcast clouds
255,Grand Baie,MU,-20.0182,57.5802,75.67,88,24,3.0,few clouds
256,Rocha,UY,-34.4833,-54.3333,53.28,89,20,4.41,few clouds
257,Kavaratti,IN,10.5669,72.642,81.28,69,94,3.47,overcast clouds
258,Souillac,MU,-20.5167,57.5167,75.58,88,75,8.05,broken clouds
259,Mucuri,BR,-18.0864,-39.5508,75.6,84,89,6.42,overcast clouds
260,Killybegs,IE,54.6333,-8.45,51.46,86,100,11.59,overcast clouds
261,Labuhan,ID,-6.8844,112.2051,89.44,58,83,2.68,broken clouds
262,Balsas,BR,-7.5325,-46.0356,78.39,71,95,2.15,overcast clouds
263,Hithadhoo,MV,-0.6,73.0833,83.17,70,85,16.58,overcast clouds
264,Kanevskaya,RU,46.0849,38.9596,53.65,96,87,6.76,light rain
265,Muana,BR,-1.5283,-49.2167,77.85,87,65,5.68,broken clouds
266,Ribeira Grande,PT,38.5167,-28.7,65.37,84,100,10.71,overcast clouds
267,Ialibu,PG,-6.2821,143.9935,75.25,48,25,4.97,scattered clouds
268,Manoel Urbano,BR,-8.8389,-69.2597,73.74,84,91,1.01,overcast clouds
269,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,10.36,few clouds
270,Pevek,RU,69.7008,170.3133,3.06,94,94,1.48,overcast clouds
271,Sao Filipe,CV,14.8961,-24.4956,76.75,75,100,8.16,overcast clouds
272,Erdenet,MN,49.0333,104.0833,25.47,51,11,4.47,few clouds
273,Wladyslawowo,PL,54.7909,18.4009,39.0,63,67,5.64,broken clouds
274,Flin Flon,CA,54.7682,-101.865,30.88,70,95,5.97,overcast clouds
275,Hofn,IS,64.2539,-15.2082,42.67,90,100,13.24,overcast clouds
276,Nantucket,US,41.2835,-70.0995,53.1,82,1,4.61,clear sky
277,Crateus,BR,-5.1783,-40.6775,81.48,60,93,4.47,overcast clouds
278,Bone,DE,51.9669,12.1396,46.81,88,78,3.78,broken clouds
279,Mulege,MX,26.8833,-111.9833,73.85,51,100,2.1,overcast clouds
280,Brasilia De Minas,BR,-16.2064,-44.4333,68.86,94,100,6.58,overcast clouds
281,Grand-Bourg,GP,15.8835,-61.3148,75.15,75,5,10.87,clear sky
282,Kailua,US,21.4022,-157.7394,82.38,68,40,9.22,scattered clouds
283,Kidal,ML,18.4411,1.4078,77.02,20,84,12.73,broken clouds
284,Maldonado,UY,-34.6667,-54.9167,62.22,85,40,3.31,scattered clouds
285,Srivardhan,IN,18.0333,73.0167,75.43,51,99,5.41,overcast clouds
286,Vagur,FO,61.4732,-6.8119,46.89,78,7,36.06,clear sky
287,Solnechnyy,RU,50.7214,136.6319,23.0,93,100,6.2,snow
288,Phuket,TH,8.0,98.25,87.1,83,20,6.91,few clouds
289,Koslan,RU,63.4564,48.8989,21.99,88,78,7.54,broken clouds
290,Panaba,MX,21.2833,-88.2667,67.71,68,33,4.81,scattered clouds
291,Taltal,CL,-25.4,-70.4833,58.37,82,33,0.34,scattered clouds
292,Tharad,IN,24.3961,71.6267,77.7,26,21,4.32,few clouds
293,Songkhla,TH,6.8333,100.6667,84.25,79,100,4.21,overcast clouds
294,Paragominas,BR,-2.9667,-47.4833,72.57,97,99,1.32,light rain
295,Sortavala,RU,61.7053,30.6918,29.57,75,10,9.1,clear sky
296,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,76,75,1.99,broken clouds
297,Bathurst,AU,-33.4166,149.5806,75.96,40,50,1.99,scattered clouds
298,Boddam,GB,57.4667,-1.7833,56.39,94,100,6.24,overcast clouds
299,Mahebourg,MU,-20.4081,57.7,75.49,88,75,8.05,broken clouds
300,Bud,US,39.447,-86.1758,58.98,69,34,7.4,scattered clouds
301,Freistadt,AT,48.511,14.5045,35.71,90,10,2.71,clear sky
302,Asau,RO,46.4333,26.4,44.76,81,100,2.19,light rain
303,Schwerin,DE,53.6294,11.4132,47.59,97,100,3.0,overcast clouds
304,Morgan City,US,29.6994,-91.2068,55.99,100,1,0.0,clear sky
305,Tete,MZ,-16.1564,33.5867,86.09,42,0,5.75,clear sky
306,Jimenez,MX,28.3333,-105.4,72.23,23,100,6.13,overcast clouds
307,Alta Floresta,BR,-9.8756,-56.0861,70.77,99,99,3.04,overcast clouds
308,Allapalli,IN,19.4167,80.0667,69.6,57,63,2.62,broken clouds
309,Turochak,RU,52.2576,87.1224,27.1,78,97,2.08,overcast clouds
310,Kharitonovo,RU,61.4009,47.4978,27.84,84,100,12.24,light snow
311,Batagay-Alyta,RU,67.8006,130.4114,1.6,94,100,3.06,overcast clouds
312,Iqaluit,CA,63.7506,-68.5145,2.93,85,1,4.61,clear sky
313,Ancud,CL,-41.8697,-73.8203,49.53,92,0,3.96,clear sky
314,Fukue,JP,32.6881,128.8419,57.56,67,75,8.05,broken clouds
315,Provideniya,RU,64.3833,-173.3,19.51,73,75,8.95,broken clouds
316,Muzhi,RU,65.3667,64.6667,13.5,91,19,3.0,few clouds
317,Grand Gaube,MU,-20.0064,57.6608,75.6,88,17,3.0,few clouds
318,Dawlatabad,AF,36.4141,64.9053,45.64,90,100,4.05,overcast clouds
319,Cascais,PT,38.6979,-9.4215,62.06,51,53,5.01,broken clouds
320,Mbour,SN,14.422,-16.9638,76.05,66,97,10.98,overcast clouds
321,Campbell River,CA,50.0163,-125.2446,48.92,75,90,5.01,overcast clouds
322,Pimentel,PE,-6.8367,-79.9342,63.5,84,39,12.1,scattered clouds
323,Ornskoldsvik,SE,63.2909,18.7153,26.42,100,100,2.3,overcast clouds
324,Namibe,AO,-15.1961,12.1522,67.86,83,9,3.91,clear sky
325,Sribne,UA,50.6638,32.9187,38.25,83,24,11.01,few clouds
326,Coahuayana,MX,18.7333,-103.6833,81.88,90,4,2.19,clear sky
327,Ipixuna,BR,-1.7625,-48.8043,78.75,91,93,4.38,overcast clouds
328,Raudeberg,NO,61.9875,5.1352,46.96,89,100,21.0,light rain
329,Nanortalik,GL,60.1432,-45.2371,24.17,74,7,16.2,clear sky
330,Kuytun,RU,54.3419,101.5036,30.0,75,97,2.51,overcast clouds
331,Wenling,CN,28.3669,121.36,53.29,49,1,4.83,clear sky
332,Faenza,IT,44.2857,11.8833,51.78,90,100,3.0,overcast clouds
333,Hurghada,EG,27.2574,33.8129,73.06,40,0,9.93,clear sky
334,Kruisfontein,ZA,-34.0033,24.7314,53.89,87,6,7.87,clear sky
335,Belem De Sao Francisco,BR,-8.7539,-38.9658,79.29,66,92,16.69,overcast clouds
336,Bambanglipuro,ID,-7.95,110.2833,85.86,66,96,5.06,overcast clouds
337,Meadow Lake,US,34.8014,-106.5436,62.8,34,11,6.49,few clouds
338,Izumo,JP,35.3667,132.7667,58.95,62,75,12.66,broken clouds
339,Morant Bay,JM,17.8815,-76.4093,80.22,85,16,6.89,few clouds
340,Tahe,CN,52.3333,124.7333,22.95,46,0,8.05,clear sky
341,Bosaso,SO,11.2842,49.1816,75.56,65,8,2.71,clear sky
342,Tateyama,JP,34.9833,139.8667,70.07,85,100,22.68,moderate rain
343,Wiang Sa,TH,8.6359,99.3666,82.67,79,100,4.61,light rain
344,Lorengau,PG,-2.0226,147.2712,86.34,64,11,11.18,few clouds
345,Pueblo Bello,CO,8.2041,-76.526,73.85,98,100,1.92,overcast clouds
346,Asfi,MA,32.2994,-9.2372,57.27,65,0,10.09,clear sky
347,Morondava,MG,-20.2833,44.2833,77.74,80,49,3.96,scattered clouds
