City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Kathmandu,NP,2021-11-08 17:59:26,27.7167,85.3167,55.62,94,40,2.3
185,Pangnirtung,CA,2021-11-08 18:01:46,66.1451,-65.7125,6.33,72,2,5.66
186,Sand,DE,2021-11-08 18:01:46,50.0,10.6,44.11,98,98,2.82
187,Sayyan,YE,2021-11-08 18:01:47,15.1718,44.3244,57.18,26,29,7.85
188,Adrar,MR,2021-11-08 18:01:47,20.5022,-10.0711,78.69,15,74,8.1
189,Oxelosund,SE,2021-11-08 18:01:48,58.6706,17.1015,34.52,92,0,4.61
190,Olafsvik,IS,2021-11-08 18:01:48,64.8945,-23.7142,40.41,96,100,21.32
191,Saskylakh,RU,2021-11-08 18:01:48,71.9167,114.0833,14.76,96,100,3.06
192,Pochutla,MX,2021-11-08 18:01:49,15.7432,-96.4661,89.82,51,93,5.79
193,Belmonte,BR,2021-11-08 18:01:49,-15.8631,-38.8828,79.03,81,66,4.97
194,Khuzhir,RU,2021-11-08 18:01:50,53.1939,107.3397,36.45,61,76,8.03
195,Huarmey,PE,2021-11-08 18:01:50,-10.0681,-78.1522,70.16,71,92,8.84
196,Presidencia Roque Saenz Pena,AR,2021-11-08 18:01:51,-26.7852,-60.4388,74.84,67,94,4.29
197,Tessalit,ML,2021-11-08 18:01:51,20.1986,1.0114,83.98,16,80,11.61
198,Altay,CN,2021-11-08 18:01:52,47.8667,88.1167,18.61,53,0,7.47
199,Bambous Virieux,MU,2021-11-08 18:01:52,-20.3428,57.7575,75.22,81,49,11.18
200,Iqaluit,CA,2021-11-08 18:00:55,63.7506,-68.5145,13.69,72,0,5.99
201,Kudahuvadhoo,MV,2021-11-08 18:01:53,2.6708,72.8944,83.07,74,95,15.59
202,Hanyang,CN,2021-11-08 18:01:53,32.1371,105.5126,40.41,73,1,3.02
203,Goderich,CA,2021-11-08 18:01:53,43.7501,-81.7165,64.04,68,0,19.73
204,Egvekinot,RU,2021-11-08 18:01:54,66.3167,-179.1667,1.29,97,98,2.62
205,Qui Nhon,VN,2021-11-08 18:01:54,13.7667,109.2333,77.61,90,91,14.81
206,Georgetown,MY,2021-11-08 18:01:55,5.4112,100.3354,78.73,94,40,3.44
207,Mattawa,US,2021-11-08 18:01:55,46.7379,-119.9028,50.18,66,99,1.81
208,Innisfail,AU,2021-11-08 17:59:26,-17.5333,146.0333,74.8,90,32,3.8
209,Komsomolskiy,UZ,2021-11-08 18:01:56,40.4272,71.7189,42.22,65,40,4.61
210,Ilulissat,GL,2021-11-08 18:01:56,69.2167,-51.1,-8.32,77,0,6.2
211,Bethel,US,2021-11-08 17:57:22,41.3712,-73.414,64.89,51,0,1.01
212,Milharado,PT,2021-11-08 18:01:57,38.9473,-9.1991,63.34,52,0,10.36
213,Kahului,US,2021-11-08 18:01:57,20.8947,-156.47,78.84,74,4,4.0
214,Fairbanks,US,2021-11-08 18:00:41,64.8378,-147.7164,10.09,85,75,4.45
215,Sabang,ID,2021-11-08 18:01:58,5.8933,95.3214,78.46,86,95,23.82
216,Lorengau,PG,2021-11-08 18:01:58,-2.0226,147.2712,81.34,83,53,10.56
217,Aragarcas,BR,2021-11-08 17:59:13,-15.8975,-52.2508,88.45,66,75,0.0
218,Sovetskiy,RU,2021-11-08 17:57:00,61.3614,63.5842,29.91,90,75,5.91
219,Dukat,RU,2021-11-08 18:02:00,62.55,155.55,-4.92,97,100,5.32
220,Cidreira,BR,2021-11-08 18:02:01,-30.1811,-50.2056,68.38,62,8,9.73
221,Portland,US,2021-11-08 18:00:12,45.5234,-122.6762,52.41,86,37,1.01
222,Setermoen,NO,2021-11-08 18:02:01,68.861,18.3486,22.96,95,93,6.08
223,Tabou,CI,2021-11-08 18:02:02,4.423,-7.3528,80.37,79,36,5.7
224,Mareeba,AU,2021-11-08 18:02:03,-17.0,145.4333,74.12,94,35,1.99
225,Virklund,DK,2021-11-08 18:02:03,56.1322,9.5558,45.9,91,59,6.08
226,Myaundzha,RU,2021-11-08 18:02:04,63.0494,147.1858,-30.41,100,68,2.26
227,Zapadnaya Dvina,RU,2021-11-08 18:02:04,56.259,32.0745,35.46,97,100,5.19
228,San Luis,AR,2021-11-08 18:02:05,-33.295,-66.3356,84.49,22,11,8.41
229,Pathein,MM,2021-11-08 18:02:05,16.7833,94.7333,76.24,87,68,5.14
230,Nuuk,GL,2021-11-08 18:00:48,64.1835,-51.7216,25.41,80,75,3.44
231,Oktyabrskoye,RU,2021-11-08 18:02:06,43.0645,44.7417,42.94,93,98,6.71
232,Irece,BR,2021-11-08 17:57:39,-11.3042,-41.8558,81.14,56,98,5.1
233,Akhisar,TR,2021-11-08 17:58:31,38.9185,27.8401,60.55,39,98,0.83
234,Gaoual,GN,2021-11-08 18:02:07,11.75,-13.2,87.19,59,28,0.85
235,Vanimo,PG,2021-11-08 18:02:07,-2.6741,141.3028,78.33,88,75,7.2
236,Chernyshevskiy,RU,2021-11-08 18:02:08,63.0128,112.4714,26.33,95,100,10.65
237,Fernandina Beach,US,2021-11-08 17:59:38,30.6697,-81.4626,71.02,48,1,3.0
238,Teya,RU,2021-11-08 18:02:09,60.3778,92.6267,27.99,85,99,14.45
239,Aitape,PG,2021-11-08 18:02:09,-3.1374,142.3475,79.39,84,43,7.25
240,Saint-Augustin,CA,2021-11-08 18:02:10,51.226,-58.6502,38.68,93,100,6.26
241,Charters Towers,AU,2021-11-08 18:02:10,-20.1,146.2667,75.83,84,96,7.58
242,Curup,ID,2021-11-08 17:59:46,-3.4667,102.5333,68.61,98,98,1.16
243,Macapa,BR,2021-11-08 18:02:11,0.0389,-51.0664,83.64,70,80,8.59
244,Antiguo Morelos,MX,2021-11-08 18:02:11,22.5495,-99.0812,81.45,60,36,5.19
245,Cardston,CA,2021-11-08 18:02:12,49.2,-113.3019,42.46,39,11,24.29
246,Port Elizabeth,ZA,2021-11-08 18:00:15,-33.918,25.5701,57.09,91,100,10.83
247,Hasaki,JP,2021-11-08 18:02:13,35.7333,140.8333,61.2,68,99,17.52
248,Buala,SB,2021-11-08 18:02:13,-8.145,159.5921,80.44,79,1,8.32
249,Aklavik,CA,2021-11-08 18:02:13,68.2191,-135.0107,5.59,96,98,5.99
250,Ayagoz,KZ,2021-11-08 18:02:14,47.9714,80.4392,9.37,89,14,4.21
251,Fukue,JP,2021-11-08 18:02:15,32.6881,128.8419,56.89,70,100,23.94
252,Launceston,AU,2021-11-08 18:02:15,-41.45,147.1667,49.64,87,40,3.44
253,Sulangan,PH,2021-11-08 18:02:15,11.1373,123.7228,82.92,80,52,12.95
254,Lavrentiya,RU,2021-11-08 18:02:17,65.5833,-171.0,8.31,88,5,6.15
255,Chuy,UY,2021-11-08 18:02:18,-33.6971,-53.4616,68.56,57,12,8.79
256,Poum,NC,2021-11-08 18:02:18,-20.2333,164.0167,75.74,78,85,11.77
257,Nata,PA,2021-11-08 18:02:19,8.3333,-80.5167,75.47,72,95,9.19
258,Chopovychi,UA,2021-11-08 18:02:19,50.8332,28.9533,46.29,63,100,11.43
259,Rey Bouba,CM,2021-11-08 18:02:19,8.6724,14.1786,87.44,46,89,3.38
260,Palmer,US,2021-11-08 18:02:20,42.1584,-72.3287,64.26,43,1,3.0
261,Gornopravdinsk,RU,2021-11-08 18:02:20,60.05,69.9,29.73,94,62,8.5
262,Zvishavane,ZW,2021-11-08 18:02:21,-20.3267,30.0665,86.23,19,22,7.29
263,Geraldton,AU,2021-11-08 17:59:44,-28.7667,114.6,66.61,77,75,13.8
264,Mercedes,AR,2021-11-08 18:02:21,-34.6515,-59.4307,88.18,18,2,9.98
265,Pangkalanbuun,ID,2021-11-08 18:02:22,-2.6833,111.6167,75.33,90,100,1.81
266,Mizdah,LY,2021-11-08 18:02:22,31.4451,12.9801,77.67,22,100,8.66
267,Hambantota,LK,2021-11-08 18:02:23,6.1241,81.1185,74.75,88,100,13.4
268,Nanchang,CN,2021-11-08 18:02:23,28.6833,115.8833,44.78,53,35,3.4
269,Kodiak,US,2021-11-08 18:02:24,57.79,-152.4072,31.46,82,100,9.91
270,Gondanglegi,ID,2021-11-08 18:02:24,-7.7479,112.0132,76.59,84,100,4.76
271,Rondonopolis,BR,2021-11-08 17:57:44,-16.4708,-54.6356,92.03,46,85,2.66
272,Laguna,US,2021-11-08 18:02:25,38.421,-121.4238,61.34,70,1,1.01
273,Straumen,NO,2021-11-08 18:02:25,63.8709,11.2999,33.62,70,60,3.74
274,Torbay,CA,2021-11-08 18:02:26,47.6666,-52.7314,52.27,71,61,5.01
275,Althofen,AT,2021-11-08 18:02:26,46.8818,14.4676,43.05,96,98,0.96
276,Lubao,PH,2021-11-08 18:02:27,14.9167,120.55,81.14,86,22,5.12
277,Vysokogornyy,RU,2021-11-08 18:02:27,50.1167,139.15,19.24,74,98,3.62
278,Ravar,IR,2021-11-08 18:02:28,31.2656,56.8055,52.61,58,45,1.3
279,Ciempozuelos,ES,2021-11-08 18:02:28,40.1591,-3.621,61.34,33,0,6.91
280,Yoichi,JP,2021-11-08 18:02:28,43.2039,140.7703,59.22,72,100,16.28
